Pattern,Components,Score,PrimeProduct
Flush: Q9652,"ranks=Q,9,6,5,2",1311,90706
Flush: J9643,"ranks=J,9,6,4,3",1437,90915
Flush: K9742,"ranks=K,9,7,4,2",1098,91390
Flush: QJ832,"ranks=Q,J,8,3,2",1207,91698
Flush: 98762,"ranks=9,8,7,6,2",1550,92378
Flush: QT742,"ranks=Q,T,7,4,2",1272,92690
Flush: AJ732,"ranks=A,J,7,3,2",680,92742
Flush: Q7653,"ranks=Q,7,6,5,3",1340,93093
Flush: KT642,"ranks=K,T,6,4,2",1069,93610
Flush: J9842,"ranks=J,9,8,4,2",1422,93670
Flush: QJ543,"ranks=Q,J,5,4,3",1224,94395
Flush: 97654,"ranks=9,7,6,5,4",1567,95095
Flush: Q8752,"ranks=Q,8,7,5,2",1325,95914
Flush: J8743,"ranks=J,8,7,4,3",1451,96135
Flush: AT832,"ranks=A,T,8,3,2",726,96186
Flush: K8652,"ranks=K,8,6,5,2",1122,96866
Flush: KT932,"ranks=K,T,9,3,2",1039,97014
Flush: Q9643,"ranks=Q,9,6,4,3",1312,97185
Flush: QJ642,"ranks=Q,J,6,4,2",1222,98890
Flush: AT543,"ranks=A,T,5,4,3",743,99015
Flush: AQ732,"ranks=A,Q,7,3,2",596,99138
Flush: AK632,"ranks=A,K,6,3,2",482,100122
Flush: Q9842,"ranks=Q,9,8,4,2",1297,100130
Flush: J9752,"ranks=J,9,7,5,2",1430,100282
Flush: T9653,"ranks=T,9,6,5,3",1504,100947
Flush: A9742,"ranks=A,9,7,4,2",770,101270
Flush: QJ932,"ranks=Q,J,9,3,2",1192,102486
Flush: JT652,"ranks=J,T,6,5,2",1401,102718
Flush: Q8743,"ranks=Q,8,7,4,3",1326,102765
Flush: AT642,"ranks=A,T,6,4,2",741,103730
Flush: K8643,"ranks=K,8,6,4,3",1123,103785
Flush: T9852,"ranks=T,9,8,5,2",1489,104006
Flush: AK542,"ranks=A,K,5,4,2",484,106190
Flush: T8753,"ranks=T,8,7,5,3",1518,106743
Flush: Q9752,"ranks=Q,9,7,5,2",1305,107198
Flush: A8652,"ranks=A,8,6,5,2",794,107338
Flush: J9743,"ranks=J,9,7,4,3",1431,107445
Flush: AT932,"ranks=A,T,9,3,2",711,107502
Flush: K9652,"ranks=K,9,6,5,2",1102,108262
Flush: KJ832,"ranks=K,J,8,3,2",998,109446
Flush: QT652,"ranks=Q,T,6,5,2",1276,109802
Flush: JT643,"ranks=J,T,6,4,3",1402,110055
Flush: KT742,"ranks=K,T,7,4,2",1063,110630
Flush: K7653,"ranks=K,7,6,5,3",1131,111111
Flush: T9843,"ranks=T,9,8,4,3",1490,111435
Flush: T8762,"ranks=T,8,7,6,2",1516,111826
Flush: KJ543,"ranks=K,J,5,4,3",1015,112665
Flush: JT842,"ranks=J,T,8,4,2",1387,113390
Flush: J8653,"ranks=J,8,6,5,3",1455,113883
Flush: K8752,"ranks=K,8,7,5,2",1116,114478
Flush: Q9743,"ranks=Q,9,7,4,3",1306,114855
Flush: A8643,"ranks=A,8,6,4,3",795,115005
Flush: T7654,"ranks=T,7,6,5,4",1533,115115
Flush: K9643,"ranks=K,9,6,4,3",1103,115995
Flush: QJ742,"ranks=Q,J,7,4,2",1216,116870
Flush: KQ832,"ranks=K,Q,8,3,2",914,116994
Flush: QT643,"ranks=Q,T,6,4,3",1277,117645
Flush: KJ642,"ranks=K,J,6,4,2",1013,118030
Flush: AK732,"ranks=A,K,7,3,2",476,118326
Flush: T9753,"ranks=T,9,7,5,3",1498,119301
Flush: K9842,"ranks=K,9,8,4,2",1088,119510
Flush: A9652,"ranks=A,9,6,5,2",774,119966
Flush: KQ543,"ranks=K,Q,5,4,3",931,120435
Flush: QT842,"ranks=Q,T,8,4,2",1262,121210
Flush: AJ832,"ranks=A,J,8,3,2",670,121278
Flush: JT752,"ranks=J,T,7,5,2",1395,121394
Flush: Q8653,"ranks=Q,8,6,5,3",1330,121737
Flush: KJ932,"ranks=K,J,9,3,2",983,122322
Flush: AT742,"ranks=A,T,7,4,2",735,122590
Flush: K8743,"ranks=K,8,7,4,3",1117,122655
Flush: A7653,"ranks=A,7,6,5,3",803,123123
Flush: QJT32,"ranks=Q,J,T,3,2",1171,124062
